step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,1.3302841186523438,0.6417274503479979,152512,7.286776304244995,1.0
2,2.4079246520996094,0.34802116272985434,575332,64.18301272392273,0.6253463255312095
3,3.896198272705078,0.2497739453730143,1304320,226.73039484024048,0.5249526330042272
4,5.726421356201172,0.20920589088206742,1913480,466.7962486743927,0.4494595253023213
5,6.7639312744140625,0.20920589088206742,2374692,681.5918521881104,0.3899178014644167
6,7.369590759277344,0.20920589088206742,2794360,901.1139092445374,0.34468523622234115
7,8.586048126220703,0.20920589088206742,3213736,1115.4258544445038,0.3100827578781759
8,9.508346557617188,0.20920589088206742,3645580,1410.7891507148743,0.2839364983617505
9,10.718574523925781,0.20920589088206742,4088272,1702.1435961723328,0.2629316006841229
10,11.444717407226562,0.20920589088206742,4537764,2087.924464225769,0.24723515862690107
11,12.005939483642578,0.20920589088206742,4995824,2514.8730115890503,0.23403192234880615
12,13.263134002685547,0.20920589088206742,5484180,3064.990737438202,0.2237628765160516
13,14.517463684082031,0.20920589088206742,6003364,3574.3164296150208,0.21582814085537586
14,15.510322570800781,0.20920589088206742,6525824,4236.331572532654,0.20944218568621623
15,16.635684967041016,0.20920589088206742,7055504,4853.880772352219,0.20434906507863962
