step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,0.15837478637695312,0.9985141202385832,31120,1.862555980682373,1.0
2,0.16778945922851562,0.9985141202385832,31120,3.5766232013702393,0.39728374987243203
3,0.17955398559570312,0.9985141202385832,31948,8.285700559616089,0.33436074431685814
4,0.18892288208007812,0.9985141202385832,33448,13.219459772109985,0.29247762223127205
5,0.189788818359375,0.9985141202385832,35900,18.57892394065857,0.26201631632499295
6,0.19671249389648438,0.9985141202385832,36896,24.132052183151245,0.2401700162294323
7,0.2023468017578125,0.9985141202385832,37796,28.05515766143799,0.2224724288724994
8,0.198394775390625,0.9985141202385832,40028,34.236350536346436,0.21760332872321234
9,0.20038986206054688,0.9985141202385832,42824,40.86110544204712,0.21743787299931053
10,0.20595550537109375,0.9985141202385832,44624,47.97613263130188,0.20414837683957823
11,0.2184295654296875,0.9985141202385832,47324,55.488625049591064,0.19744661160701016
12,0.21194839477539062,0.9985141202385832,50984,66.26281714439392,0.18691233323094575
13,0.228118896484375,0.9985141202385832,52932,74.91590976715088,0.17063097008906664
14,0.238525390625,0.9985141202385832,54856,83.98735022544861,0.15798136008851132
15,0.2584953308105469,0.9985141202385832,57416,96.46188974380493,0.1519664664782176
16,0.2624855041503906,0.9985141202385832,60716,109.78509616851807,0.1459655760251057
17,0.2685737609863281,0.9985141202385832,63644,120.47897243499756,0.13497132027751996
18,0.276519775390625,0.9985141202385832,66668,131.7883176803589,0.12886157171693527
19,0.274200439453125,0.9985141202385832,70836,147.72021579742432,0.12147746714903807
20,0.2804679870605469,0.9985141202385832,74524,160.60642671585083,0.11340552258649782
21,0.2870979309082031,0.9985141202385832,78384,178.56165099143982,0.11050704848781204
22,0.3045845031738281,0.9985141202385832,82184,192.9953908920288,0.10453088254555253
23,0.2927703857421875,0.9985141202385832,85748,208.1685869693756,0.09959682901898138
24,0.3020744323730469,0.9985141202385832,89752,229.24988174438477,0.09420702090846335
25,0.30785369873046875,0.9985141202385832,93532,251.36697149276733,0.09057209272600683
26,0.3226318359375,0.9985141202385832,96020,268.7783806324005,0.08436549623977413
27,0.3195838928222656,0.9985141202385832,99392,286.8267776966095,0.08368777454169819
28,0.3532295227050781,0.9985141202385832,103332,305.66658902168274,0.08315083288719659
29,0.3666038513183594,0.9985141202385832,106084,325.127019405365,0.08034154009546085
30,0.3734703063964844,0.9985141202385832,108808,345.1899917125702,0.07788221536398225
31,0.3766136169433594,0.9985141202385832,112788,365.9782090187073,0.07648729043451533
32,0.38224029541015625,0.9985141202385832,116464,387.49116015434265,0.07359295512756645
33,0.3903083801269531,0.9985141202385832,118236,402.59488558769226,0.0720369611992625
34,0.3939399719238281,0.9985141202385832,121632,425.1859986782074,0.07260782540659318
35,0.4003486633300781,0.9985141202385832,126132,448.6904351711273,0.07304846797073214
36,0.3980369567871094,0.9985141202385832,126912,465.0473449230194,0.06940267928129815
37,0.40374755859375,0.9985141202385832,130872,497.33533668518066,0.06879969863559558
