step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,0.18550872802734375,2.4304785046434176,29172,1.243295431137085,1.0
2,0.24560928344726562,1.5023016610641051,32924,6.165211915969849,0.5070690093729449
3,0.2581214904785156,1.5023016610641051,35760,9.582297563552856,0.3500908079790036
4,0.2694206237792969,1.3055363321607942,38456,13.230774641036987,0.2695182376868608
5,0.2789192199707031,1.3055363321607942,42256,18.59768033027649,0.24207315738896348
6,0.2968330383300781,0.8065456401494813,46180,24.533944368362427,0.2269229324996688
7,0.3155250549316406,0.8065456401494813,51388,31.292792797088623,0.2344421260946706
8,0.3465423583984375,0.8065456401494813,55448,38.57970213890076,0.2174094454595935
9,0.3697166442871094,0.8065456401494813,60184,46.60088229179382,0.20030339660360794
10,0.379913330078125,0.8065456401494813,65624,57.58642935752869,0.1925927950901319
11,0.38632965087890625,0.8065456401494813,69988,64.95527958869934,0.1791559144088909
12,0.4139595031738281,0.8065456401494813,75604,75.43527150154114,0.17453852006728823
13,0.4345245361328125,0.8065456401494813,81296,86.90834069252014,0.1636866793115472
14,0.45735931396484375,0.8065456401494813,87044,99.89931058883667,0.1537109880504151
15,0.475128173828125,0.8065456401494813,93052,110.91554427146912,0.1421692316132773
16,0.492706298828125,0.8065456401494813,100392,122.0296516418457,0.13504449696289664
17,0.5364112854003906,0.8065456401494813,107140,137.5794596672058,0.1271005586033978
18,0.5825042724609375,0.8065456401494813,114456,154.37646460533142,0.12111134553357254
19,0.5825080871582031,0.8065456401494813,120468,167.88799738883972,0.11341292935056103
20,0.6014976501464844,0.8065456401494813,125916,186.53107476234436,0.10942181909092713
21,0.6014976501464844,0.8065456401494813,132436,210.81071496009827,0.10531821550744765
22,0.6014976501464844,0.8065456401494813,139848,226.6552574634552,0.09948269350596593
23,0.6014976501464844,0.8065456401494813,146292,243.47214794158936,0.09485093019216259
24,0.6014976501464844,0.8065456401494813,152856,266.4732310771942,0.09241247866715573
25,0.6127815246582031,0.8065456401494813,160432,296.42205452919006,0.0905627432691601
26,0.6158828735351562,0.8065456401494813,167724,315.7283353805542,0.08688896577255159
27,0.6720695495605469,0.8065456401494813,172956,335.7325644493103,0.08383230853514875
28,0.6720695495605469,0.8065456401494813,181128,363.20865416526794,0.08308495213309265
29,0.6729774475097656,0.8065456401494813,185460,391.5796926021576,0.08085709544416686
30,0.6768112182617188,0.8065456401494813,193440,421.16233682632446,0.07912363941772438
31,0.7905807495117188,0.8065456401494813,200744,452.0366761684418,0.07953784884922659
32,0.7905807495117188,0.8065456401494813,204776,476.1265857219696,0.0766271950716283
33,0.8509559631347656,0.8065456401494813,212460,501.1289451122284,0.077112440707901
34,0.851043701171875,0.8065456401494813,221188,535.7968628406525,0.0740001675271431
35,0.8598670959472656,0.8065456401494813,224672,571.0789122581482,0.07038836479036666
36,0.8598670959472656,0.8065456401494813,230512,606.9027066230774,0.0683574387329128
37,0.8718452453613281,0.8065456401494813,234768,635.1605801582336,0.06333555474606278
38,0.8718452453613281,0.8065456401494813,240912,663.8597848415375,0.05806498831068053
39,0.8718452453613281,0.8065456401494813,243984,702.491406917572,0.05044631184254199
40,0.8718452453613281,0.8065456401494813,246284,741.437481880188,0.04401373642262627
41,0.8718452453613281,0.8065456401494813,249040,773.3159916400909,0.037345695651741846
42,0.8718452453613281,0.8065456401494813,252176,803.761599779129,0.031752631526160875
43,0.8718452453613281,0.8065456401494813,254596,834.9093368053436,0.02639722321945306
44,0.8718452453613281,0.8065456401494813,256416,856.1686947345734,0.022368160903045314
45,0.8718452453613281,0.8065456401494813,257684,887.2793536186218,0.019147135048748615
46,0.8718452453613281,0.8065456401494813,258124,908.9365050792694,0.016493407375192712
47,0.8718452453613281,0.8065456401494813,259512,941.0381557941437,0.014915497009750821
48,0.8718452453613281,0.8065456401494813,259768,962.5942723751068,0.013103530082627862
49,0.8718452453613281,0.8065456401494813,260360,984.265947341919,0.011516957055225787
50,0.8718452453613281,0.8065456401494813,261120,1015.7548341751099,0.010454148109662758
51,0.8718452453613281,0.8065456401494813,261712,1037.5468225479126,0.00973981514635257
52,0.8718452453613281,0.8065456401494813,262884,1069.154866218567,0.00961264534191621
53,0.8718452453613281,0.8065456401494813,263280,1090.951233625412,0.008807853341710593
54,0.8718452453613281,0.8065456401494813,263412,1112.8227169513702,0.007980570478606432
55,0.8718452453613281,0.8065456401494813,263640,1134.744921207428,0.008013698780478955
56,0.8718452453613281,0.8065456401494813,263872,1156.6612241268158,0.007120677458686451
57,0.8718452453613281,0.8065456401494813,264100,1178.5584461688995,0.006805392515621905
58,0.8718452453613281,0.8065456401494813,264280,1200.4864962100983,0.006382054866466173
59,0.8718452453613281,0.8065456401494813,264280,1212.5443606376648,0.005722458220333315
60,0.8718452453613281,0.8065456401494813,264776,1234.557289838791,0.005610972833707585
61,0.8718452453613281,0.8065456401494813,265388,1256.6147911548615,0.0055950300187763554
62,0.8718452453613281,0.8065456401494813,265388,1268.8298099040985,0.005345860644886774
63,0.8718452453613281,0.8065456401494813,265780,1300.8354415893555,0.004662175729575713
64,0.8718452453613281,0.8065456401494813,266016,1322.9527986049652,0.004370818420114991
65,0.8718452453613281,0.8065456401494813,266016,1335.0558576583862,0.003947974663629585
66,0.8718452453613281,0.8065456401494813,266016,1347.1722269058228,0.003492112849593886
67,0.8718490600585938,0.8065456401494813,266292,1369.3177361488342,0.003217061581343751
68,0.8718490600585938,0.8065456401494813,266648,1401.3761661052704,0.00329532100160411
69,0.8718490600585938,0.8065456401494813,266828,1423.576848268509,0.0031989394553732045
70,0.8718490600585938,0.8065456401494813,266912,1445.6825647354126,0.0029958712730834935
71,0.8718490600585938,0.8065456401494813,267080,1467.8457570075989,0.0029253539142434105
72,0.8718490600585938,0.8065456401494813,267080,1480.01904129982,0.0028562991598966706
73,0.8718490600585938,0.8065456401494813,267140,1502.1113872528076,0.0027556256041046624
74,0.8718490600585938,0.8065456401494813,267240,1524.3259682655334,0.0025750317953719716
75,0.8718490600585938,0.8065456401494813,267240,1536.550449848175,0.002374974548651238
76,0.8718490600585938,0.8065456401494813,267240,1548.767732143402,0.002142954755046227
77,0.8718490600585938,0.8065456401494813,267384,1570.9580018520355,0.0024144569269228975
78,0.8718490600585938,0.8065456401494813,267384,1584.3456790447235,0.002337536755036895
79,0.8718490600585938,0.8065456401494813,267384,1596.8464007377625,0.0019781381688446327
80,0.8718490600585938,0.8065456401494813,267384,1609.5009987354279,0.0017772183496741957
81,0.8718490600585938,0.8065456401494813,267480,1632.6419072151184,0.0016363057492636477
82,0.8718490600585938,0.8065456401494813,267480,1644.8612661361694,0.0015801821430365616
83,0.8718490600585938,0.8065456401494813,267480,1657.0487904548645,0.001442672881681901
84,0.8718490600585938,0.8065456401494813,267628,1679.3487248420715,0.0014188042269191673
85,0.8718490600585938,0.8065456401494813,268080,1711.616584777832,0.0016845468831450093
86,0.8718490600585938,0.8065456401494813,268512,1733.9828805923462,0.0013985580644353555
87,0.8718490600585938,0.8065456401494813,268512,1746.310787677765,0.0010998172805476627
88,0.8718490600585938,0.8065456401494813,268512,1758.5935249328613,0.0011713170329262722
89,0.8718490600585938,0.8065456401494813,268512,1770.8503587245941,0.0009610634389916976
90,0.8718490600585938,0.8065456401494813,268512,1783.1485121250153,0.0008015494246981939
91,0.8718490600585938,0.8065456401494813,268512,1795.4408633708954,0.0007334699530038436
92,0.8718490600585938,0.8065456401494813,268620,1817.7904901504517,0.0008621224120175301
93,0.8718490600585938,0.8065456401494813,268620,1830.1106946468353,0.0006992706197863557
94,0.8718490600585938,0.8065456401494813,268788,1852.7474789619446,0.0007606116080835956
95,0.8718490600585938,0.8065456401494813,268788,1865.1043167114258,0.0005758511567025198
96,0.8718490600585938,0.8065456401494813,268788,1877.4162435531616,0.00045804005420300206
97,0.8718490600585938,0.8065456401494813,268788,1889.83296084404,0.0005219187093556361
98,0.8718490600585938,0.8065456401494813,268788,1902.270744562149,0.00040867586515285593
99,0.8718490600585938,0.8065456401494813,268788,1914.641039609909,0.0004617665854554822
100,0.8718490600585938,0.8065456401494813,268872,1937.0980951786041,0.0006332855457449305
101,0.8718490600585938,0.8065456401494813,268872,1949.4293928146362,0.000571172582089245
102,0.8718490600585938,0.8065456401494813,269152,1972.0060064792633,0.0005915617569700098
103,0.8718490600585938,0.8065456401494813,269152,1984.3886704444885,0.0007319288634176331
104,0.8718490600585938,0.8065456401494813,269152,1996.734368801117,0.0006914126633687877
105,0.8718490600585938,0.8065456401494813,269152,2009.0836110115051,0.0007799865291882694
106,0.8718490600585938,0.8065456401494813,269152,2021.4078993797302,0.0007127180217530242
107,0.8718490600585938,0.8065456401494813,269152,2033.7252736091614,0.000637408055442786
108,0.8718490600585938,0.8065456401494813,269244,2056.252146959305,0.0005615120381254977
109,0.8718490600585938,0.8065456401494813,269244,2068.6162853240967,0.0005812308726087849
110,0.8718490600585938,0.8065456401494813,269244,2080.9859504699707,0.0004320175463836939
111,0.8718490600585938,0.8065456401494813,269244,2093.3469495773315,0.00035802922469784415
112,0.8718490600585938,0.8065456401494813,269244,2105.673563480377,0.0004190570934078545
