step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,0.6539497375488281,0.9985141202383722,31152,0.7006120681762695,1.0
2,0.6740531921386719,0.9985141202383722,31152,1.232513189315796,0.3936691299622126
3,0.717071533203125,0.9985141202383722,32308,2.6228885650634766,0.3605958287037907
4,0.7607688903808594,0.8709809786532511,34580,5.968656063079834,0.3099737230814921
5,0.7757720947265625,0.8709809786532511,35884,7.753974437713623,0.2696537452088701
6,0.7958297729492188,0.8709809786532511,37588,9.01185154914856,0.2635532015618943
7,0.8207588195800781,0.8709809786532511,38444,10.354974746704102,0.2342479951390636
8,0.8633041381835938,0.8709809786532511,40088,12.518011569976807,0.22076887264163003
9,0.873687744140625,0.8709809786532511,41624,15.047487258911133,0.2084510525250888
10,0.8753776550292969,0.8709809786532511,45700,17.21076250076294,0.20658583375490072
11,0.9116859436035156,0.8709809786532511,48572,19.452484130859375,0.19426658509740785
12,0.941619873046875,0.8709809786532511,50292,21.069854736328125,0.18207163506303742
13,0.957550048828125,0.8709809786532511,52900,23.509924173355103,0.16668798695547776
14,0.9653053283691406,0.8709809786532511,55660,26.13075065612793,0.1598146121597202
15,1.0124397277832031,0.8709809786532511,59492,29.059067249298096,0.15193000446085383
16,1.0615272521972656,0.8709809786532511,62912,32.15865087509155,0.14261813681336338
17,1.1437644958496094,0.8709809786532511,68572,37.47470164299011,0.1358891287764422
18,1.144378662109375,0.8709809786532511,70692,39.85124683380127,0.12436369966676279
19,1.1926689147949219,0.8709809786532511,75596,47.98674011230469,0.11810186319089275
20,1.26385498046875,0.8709809786532511,77924,51.84305715560913,0.11142838784068958
21,1.3167610168457031,0.8709809786532511,80636,56.03201937675476,0.10582668002795255
22,1.3765449523925781,0.8709809786532511,83036,60.21047782897949,0.10183038873821733
23,1.4068222045898438,0.8709809786532511,85244,65.87335777282715,0.09811035965918753
24,1.4074745178222656,0.8709809786532511,90608,71.75480484962463,0.09522883223864376
