step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,11.764030456542969,3.535533905932376,12100136,1170.2851338386536,1.0
2,12.837703704833984,3.535533905932376,12100136,2299.321576833725,0.6118062023659803
3,14.376304626464844,3.535533905932376,12100136,3405.8962602615356,0.5342545167776659
4,14.7320556640625,3.535533905932376,12100136,4526.468627691269,0.4863728880696157
5,15.40206527709961,3.535533905932376,12100136,5610.129472255707,0.44528720910773706
6,14.969226837158203,3.535533905932376,12100136,6704.15623998642,0.4063909257120163
7,15.796356201171875,3.535533905932376,12100136,7803.181626319885,0.3710513592864635
8,15.71923828125,3.535533905932376,12100136,8869.157785892487,0.3394379413603805
9,16.507808685302734,3.535533905932376,12100136,9954.785010099411,0.31236400455359353
10,16.5078125,3.535533905932376,12100136,10983.70401763916,0.2903307366154248
11,16.50782012939453,3.535533905932376,12100136,12007.415024995804,0.26992194716766094
12,16.5078125,3.535533905932376,12100136,13034.591898918152,0.25325611238901646
13,16.969284057617188,3.535533905932376,12100136,14170.248302459717,0.2387025339756073
14,16.969284057617188,3.535533905932376,12100136,15234.328169822693,0.22583729259199803
15,16.969284057617188,3.535533905932376,12100136,16289.80198264122,0.21434728135432085
16,16.50784683227539,3.535533905932376,12100136,17417.10249733925,0.20415073846686888
17,16.50784683227539,3.535533905932376,12100136,18553.769745588303,0.19462768984850476
18,16.969284057617188,3.535533905932376,12100136,19621.30962228775,0.18596430026600325
19,16.969284057617188,3.535533905932376,12100136,20815.92356443405,0.1782846131387476
20,16.969287872314453,3.535533905932376,12100136,21970.21793293953,0.1712170574036844
21,17.32501220703125,3.535533905932376,12100136,23092.196376800537,0.16479042683122702
22,16.96929168701172,3.535533905932376,12100136,24239.789559841156,0.1589843278791328
23,17.32501220703125,3.535533905932376,12100136,25381.419908761978,0.1535554431789992
24,16.96929168701172,3.535533905932376,12100136,26537.3193025589,0.14870363241822315
25,16.969322204589844,3.535533905932376,12100136,27614.221839666367,0.1442267385293543
26,16.507709503173828,3.535533905932376,12100136,28764.8796710968,0.14000626026472962
27,16.507705688476562,3.535533905932376,12100136,29852.012603521347,0.13607201576823105
28,16.507705688476562,3.535533905932376,12100136,30924.372444868088,0.1326073738894739
29,16.507713317871094,3.535533905932376,12100136,32003.41038417816,0.12934212351125748
30,16.50640869140625,3.535533905932376,12100136,33143.6821334362,0.1265650600801788
31,16.50641632080078,3.535533905932376,12100136,34279.94715452194,0.12399933340581386
32,16.520252227783203,3.535533905932376,12100136,35368.242300987244,0.12203059687007581
33,17.19214630126953,3.535533905932376,12100136,36501.88923072815,0.12042567319787117
34,16.50641632080078,3.535533905932376,12100136,37649.044988155365,0.11932986525354947
35,16.967853546142578,3.535533905932376,12100136,38841.61911153793,0.12200691988660688
36,16.967880249023438,3.535533905932376,12100136,39987.1763381958,0.13410130322180078
37,16.967884063720703,3.535533905932376,12100136,41128.53355097771,0.11481874479840917
38,16.96788787841797,3.535533905932376,12100136,42207.81338047981,0.08547029040179147
39,16.506450653076172,3.535533905932376,12100136,43278.62104177475,0.06106425204332482
40,16.573612213134766,3.535533905932376,12100136,44355.234061956406,0.042624802328104325
41,16.506450653076172,3.535533905932376,12100136,45426.70437216759,0.03019747560069944
42,16.96788787841797,3.535533905932376,12100136,46506.23473572731,0.021544899187709316
43,16.506404876708984,3.535533905932376,12100136,47684.87316989899,0.015043553253208108
44,16.967849731445312,3.535533905932376,12100136,48807.40597629547,0.011097714571495627
45,16.721233367919922,3.535533905932376,12100136,49896.12974858284,0.007036372260450003
46,15.323577880859375,3.535533905932376,12100136,51060.05015492439,0.006242435783423879
47,15.79498291015625,3.535533905932376,12100136,52146.660769701004,0.0036737910528593836
48,14.967887878417969,3.535533905932376,12100136,53290.37723827362,0.0021628855913734396
49,15.795013427734375,3.535533905932376,12100136,54437.59851884842,0.0015577980842678744
50,15.3236083984375,3.535533905932376,12100136,55523.277129650116,0.0015807283285313143
51,15.795013427734375,3.535533905932376,12100136,56669.346611738205,0.0011379519058249347
52,15.3236083984375,3.535533905932376,12100136,57819.69845080376,0.0007580547274184362
53,15.795013427734375,3.535533905932376,12100136,58951.33423948288,0.0005361950347478675
54,15.3236083984375,3.535533905932376,12100136,60106.08474230766,0.00035500007242047696
55,16.612171173095703,3.535533905932376,12100136,61240.44938611984,0.00026405290845723075
56,16.112171173095703,3.535533905932376,12100136,62371.54964566231,0.00019906312934005077
57,16.506454467773438,3.535533905932376,12100136,63538.5538418293,0.00017602111402139142
58,16.506454467773438,3.535533905932376,12100136,64678.70870256424,0.00011324883205884683
59,16.506458282470703,3.535533905932376,12100136,65788.11508727074,8.53769558791681e-05
