step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,0.1700286865234375,0.9985141202383722,33076,5.0641865730285645,1.0
2,0.19753646850585938,0.9985141202383722,38580,12.649369478225708,0.6478692081297558
3,0.21575546264648438,0.9985141202383722,46052,22.15998649597168,0.5627868579244819
4,0.24816131591796875,0.9985141202383722,56776,37.30702185630798,0.5073426956692495
5,0.2759284973144531,0.9985141202383722,68912,48.73566150665283,0.4543541376310974
6,0.2902641296386719,0.9985141202383722,85920,72.99463319778442,0.4055844331700727
7,0.3504753112792969,0.9985141202383722,102100,103.26196622848511,0.36208318247957677
8,0.3842964172363281,0.9985141202383722,119572,132.2726650238037,0.32664782312636503
9,0.41320037841796875,0.9985141202383722,136616,166.20272278785706,0.29627857220315573
10,0.4237480163574219,0.9985141202383722,156520,206.3988072872162,0.27323282739426225
11,0.4711265563964844,0.9985141202383722,176408,253.11589813232422,0.25205026485850907
12,0.5934486389160156,0.9985141202383722,197960,332.00310611724854,0.23609569214637438
13,0.6039657592773438,0.9985141202383722,216464,390.5665445327759,0.22139394221348493
14,0.6471939086914062,0.9985141202383722,239868,455.89922881126404,0.20746058890993138
15,0.7143325805664062,0.8994577182154389,261624,527.921379327774,0.19624416751782586
16,0.700653076171875,0.8994577182154389,280832,606.2730071544647,0.1870436735050876
17,0.73358154296875,0.8994577182154389,301432,691.1456933021545,0.17878225010570448
18,0.7609710693359375,0.8994577182154389,320120,782.1828331947327,0.1703540005925526
19,0.8212356567382812,0.8994577182154389,341800,879.521648645401,0.16170848722952638
20,0.824676513671875,0.7893662270938463,362240,1008.6220021247864,0.1562779741233396
21,0.8482093811035156,0.7893662270938463,378712,1118.3029427528381,0.14992874306644732
22,1.0297012329101562,0.7893662270938463,398084,1259.8658068180084,0.14712849735583047
23,1.1504783630371094,0.7893662270938463,420196,1380.3956549167633,0.14257848776606885
24,1.2091903686523438,0.7893662270938463,438240,1536.463843345642,0.13826710462687752
25,1.2427215576171875,0.7893662270938463,458208,1730.9665834903717,0.135220749413574
26,1.2443122863769531,0.7893662270938463,476412,1901.0670635700226,0.13335046772383372
27,1.2631721496582031,0.7893662270938463,496376,2080.795996904373,0.13092125379281822
28,1.3593292236328125,0.7893662270938463,517864,2266.3819370269775,0.133274458664967
29,1.3593292236328125,0.7893662270938463,534476,2420.301342487335,0.13166099392723327
30,1.3593292236328125,0.7893662270938463,544748,2579.658049583435,0.10890226101632641
31,1.3593292236328125,0.7893662270938463,552096,2702.1644139289856,0.07705302510230261
32,1.3759765625,0.7893662270938463,556436,2826.700039625168,0.05115311973880966
33,1.3837471008300781,0.7893662270938463,559072,2950.982426404953,0.03342146508359449
34,1.3872604370117188,0.7893662270938463,560276,3077.007432460785,0.019662419377739923
35,1.3899497985839844,0.7893662270938463,561232,3163.7177143096924,0.012787400843305761
36,1.3899497985839844,0.7893662270938463,562552,3289.5119009017944,0.007649196037263762
37,1.3933753967285156,0.7893662270938463,562756,3377.6803472042084,0.003679210640438566
38,1.3947257995605469,0.7893662270938463,562756,3426.009046792984,0.001906829462308323
39,1.3947257995605469,0.7893662270938463,563248,3549.091944217682,0.00111426426104091
40,1.3947296142578125,0.7893662270938463,563380,3634.7568795681,0.0006371183872468332
41,1.3947296142578125,0.7893662270938463,563780,3719.9399693012238,0.0005867776532909949
42,1.3967056274414062,0.7893662270938463,563780,3767.5499606132507,0.00017943807645362143
43,1.3967056274414062,0.7893662270938463,563780,3815.7108528614044,0.00016558592832598612
44,1.3967056274414062,0.7893662270938463,563780,3862.902053833008,9.178023589196806e-05
